country_name,entity_id,country_code,__last_seen,__first_seen
Tunisian,gb-hmt-sanctions.8421,TN,2018-04-26 12:44:16.563808,2018-04-12 08:16:14.397709
Tunisian,gb-hmt-sanctions.11628,TN,2018-04-26 12:44:16.667451,2018-04-12 08:16:38.543913
Tunisian,gb-hmt-sanctions.11631,TN,2018-04-26 12:44:16.748249,2018-04-12 08:16:42.736946
Tunisian,gb-hmt-sanctions.11594,TN,2018-04-26 12:44:17.898358,2018-04-12 08:16:40.144793
Tunisian,gb-hmt-sanctions.11624,TN,2018-04-26 12:44:18.223552,2018-04-12 08:16:39.486204
Tunisian,gb-hmt-sanctions.11627,TN,2018-04-26 12:44:18.398461,2018-04-12 08:16:37.502318
Tunisian,gb-hmt-sanctions.11625,TN,2018-04-26 12:44:18.583354,2018-04-12 08:16:37.768656
Tunisian,gb-hmt-sanctions.11602,TN,2018-04-26 12:44:20.718258,2018-04-12 08:16:37.760499
Tunisian,gb-hmt-sanctions.11593,TN,2018-04-26 12:44:20.822417,2018-04-12 08:16:34.176536
Tunisian,gb-hmt-sanctions.11630,TN,2018-04-26 12:44:23.593749,2018-04-12 08:16:42.662044
Yemeni,gb-hmt-sanctions.11123,YE,2018-04-26 12:44:15.404875,2018-04-12 08:16:34.726885
Tunisian,gb-hmt-sanctions.11607,TN,2018-04-26 12:44:17.681659,2018-04-12 08:16:36.458407
Tunisian,gb-hmt-sanctions.11606,TN,2018-04-26 12:44:21.725743,2018-04-12 08:16:40.853164
Afghan,gb-hmt-sanctions.11275,,2018-04-26 12:44:21.918703,2018-04-12 08:16:39.952874
Afghan,gb-hmt-sanctions.11274,,2018-04-26 12:44:29.473891,2018-04-12 08:16:46.362919
Rwandan,gb-hmt-sanctions.11279,RW,2018-04-26 12:44:35.890671,2018-04-12 08:17:05.001427
,gb-hmt-sanctions.11688,,2018-04-26 12:44:22.424419,2018-04-12 08:16:44.021006
Iraqi,gb-hmt-sanctions.8245,IQ,2018-04-26 12:44:04.278025,2018-04-12 08:16:20.614177
Iraqi,gb-hmt-sanctions.8784,IQ,2018-04-26 12:44:17.671659,2018-04-12 08:16:33.827038
Tunisian,gb-hmt-sanctions.11616,TN,2018-04-26 12:44:17.898351,2018-04-12 08:16:39.269396
Tunisian,gb-hmt-sanctions.11629,TN,2018-04-26 12:44:18.517609,2018-04-12 08:16:40.862460
Tunisian,gb-hmt-sanctions.11592,TN,2018-04-26 12:44:19.709750,2018-04-12 08:16:36.752349
Rwandan,gb-hmt-sanctions.11276,RW,2018-04-26 12:44:22.439871,2018-04-12 08:17:15.763021
Somali,gb-hmt-sanctions.11093,SO,2018-04-26 12:56:48.287404,2018-04-12 08:16:37.769240
