country_name,entity_id,country_code,__last_seen,__first_seen
Iraq,un-sc-sanctions.6908106,IQ,2018-05-01 01:05:08.067750,2018-04-12 07:33:01.987147
Iraq,un-sc-sanctions.6908064,IQ,2018-05-01 01:05:08.100837,2018-04-12 07:33:02.512409
Iraq,un-sc-sanctions.6908049,IQ,2018-05-01 01:05:08.167503,2018-04-12 07:33:02.729113
Yemen,un-sc-sanctions.6908478,YE,2018-05-01 01:05:08.167821,2018-04-12 07:33:03.209279
Iraq,un-sc-sanctions.6908063,IQ,2018-05-01 01:05:08.250116,2018-04-12 07:33:02.520801
Kuwait,un-sc-sanctions.6908399,KW,2018-05-01 01:05:09.335409,2018-04-12 07:33:05.348680
Algeria,un-sc-sanctions.112028,DZ,2018-05-01 01:05:09.776537,2018-04-12 07:33:05.487990
Democratic People's Republic of Korea,un-sc-sanctions.6908565,KP,2018-05-01 01:05:02.193976,2018-04-12 07:32:46.870725
Egypt,un-sc-sanctions.111533,EG,2018-05-01 01:05:02.694657,2018-04-12 07:32:48.545593
Iraq,un-sc-sanctions.6908127,IQ,2018-05-01 01:05:03.962040,2018-04-12 07:32:50.970746
Afghanistan,un-sc-sanctions.110967,AF,2018-05-01 01:05:03.987194,2018-04-12 07:32:49.479425
Pakistan,un-sc-sanctions.110967,PK,2018-05-01 01:05:04.003657,2018-04-12 07:32:49.495989
Afghanistan,un-sc-sanctions.110942,AF,2018-05-01 01:05:04.187278,2018-04-12 07:32:51.454237
Iraq,un-sc-sanctions.6908121,IQ,2018-05-01 01:05:05.189553,2018-04-12 07:32:54.660229
Tunisia,un-sc-sanctions.111837,TN,2018-05-01 01:05:05.781753,2018-04-12 07:32:59.303698
Iraq,un-sc-sanctions.6908417,IQ,2018-05-01 01:05:06.399348,2018-04-12 07:33:00.014571
Iraq,un-sc-sanctions.6908077,IQ,2018-05-01 01:05:06.975305,2018-04-12 07:33:02.662727
Iraq,un-sc-sanctions.6908060,IQ,2018-05-01 01:05:07.449728,2018-04-12 07:33:02.437282
Iraq,un-sc-sanctions.6908089,IQ,2018-05-01 01:05:07.984091,2018-04-12 07:33:16.338863
Iraq,un-sc-sanctions.6908080,IQ,2018-05-01 01:05:09.001232,2018-04-12 07:33:04.421044
Jordan,un-sc-sanctions.113223,JO,2018-05-01 01:05:09.184931,2018-04-12 07:33:04.990021
Iraq,un-sc-sanctions.6908097,IQ,2018-05-01 01:05:09.468109,2018-04-12 07:33:06.324770
Russian Federation,un-sc-sanctions.6908574,RU,2018-05-01 01:05:09.768408,2018-04-12 07:33:06.375270
Somalia,un-sc-sanctions.6908036,SO,2018-05-01 01:05:10.210556,2018-04-12 07:33:05.738478
Somalia,un-sc-sanctions.6908699,SO,2018-05-01 01:05:10.310562,2018-04-12 07:33:06.826774
Pakistan,un-sc-sanctions.2983834,PK,2018-05-01 01:05:11.303127,2018-04-12 07:33:08.028779
Iran,un-sc-sanctions.110438,IR,2018-05-01 01:05:11.361325,2018-04-12 07:33:06.325291
Democratic People's Republic of Korea,un-sc-sanctions.6908618,KP,2018-05-01 01:05:11.586610,2018-04-12 07:33:08.445866
Russian Federation,un-sc-sanctions.6908601,RU,2018-05-01 01:05:11.836568,2018-04-12 07:33:07.361527
Democratic People's Republic of Korea,un-sc-sanctions.6908613,KP,2018-05-01 01:05:12.195308,2018-04-12 07:33:07.887225
Germany,un-sc-sanctions.2981652,DE,2018-05-01 01:05:12.703838,2018-04-12 07:33:09.163815
Morocco,un-sc-sanctions.2981652,MA,2018-05-01 01:05:12.779045,2018-04-12 07:33:09.180463
Democratic People's Republic of Korea,un-sc-sanctions.6908587,KP,2018-05-01 01:05:12.978865,2018-04-12 07:33:06.968923
Morocco,un-sc-sanctions.111951,MA,2018-05-01 01:05:12.978891,2018-04-12 07:33:09.864101
Guinea-Bissau,un-sc-sanctions.690792,GW,2018-05-01 01:05:13.596307,2018-04-12 07:33:09.029541
Germany,un-sc-sanctions.6908494,DE,2018-05-01 01:05:14.205355,2018-04-12 07:33:10.062704
Iraq,un-sc-sanctions.6908112,IQ,2018-05-01 01:05:14.813969,2018-04-12 07:33:11.789809
Democratic People's Republic of Korea ,un-sc-sanctions.6908571,KP,2018-05-01 01:05:02.152567,2018-04-12 07:32:46.310373
Iraq,un-sc-sanctions.6908057,IQ,2018-05-01 01:05:02.519433,2018-04-12 07:32:48.521039
Afghanistan,un-sc-sanctions.2913551,AF,2018-05-01 01:05:02.794441,2018-04-12 07:32:48.128820
Mali,un-sc-sanctions.3012677,ML,2018-05-01 01:05:03.186282,2018-04-12 07:32:49.937380
Iraq,un-sc-sanctions.111953,IQ,2018-05-01 01:05:03.887568,2018-04-12 07:32:58.929687
Afghanistan,un-sc-sanctions.110577,AF,2018-05-01 01:05:04.621398,2018-04-12 07:32:52.545807
Iraq,un-sc-sanctions.6908067,IQ,2018-05-01 01:05:05.873602,2018-04-12 07:33:01.353901
Saudi Arabia,un-sc-sanctions.2968403,SA,2018-05-01 01:05:06.223933,2018-04-12 07:33:00.239010
Tunisia,un-sc-sanctions.111734,TN,2018-05-01 01:05:06.374662,2018-04-12 07:32:54.037850
Saudi Arabia,un-sc-sanctions.6908530,SA,2018-05-01 01:05:06.975151,2018-04-12 07:33:01.553741
Iraq,un-sc-sanctions.6908052,IQ,2018-05-01 01:05:07.250230,2018-04-12 07:33:03.920912
Iraq,un-sc-sanctions.6908117,IQ,2018-05-01 01:05:07.875410,2018-04-12 07:33:02.587841
Iraq,un-sc-sanctions.6908102,IQ,2018-05-01 01:05:07.875442,2018-04-12 07:33:04.529395
Saudi Arabia,un-sc-sanctions.6908407,SA,2018-05-01 01:05:09.351391,2018-04-12 07:33:05.263054
Democratic Republic of the Congo,un-sc-sanctions.6907993,CD,2018-05-01 01:05:10.210728,2018-04-12 07:33:05.830135
Russian Federation,un-sc-sanctions.6908488,RU,2018-05-01 01:05:10.786009,2018-04-12 07:33:05.366226
Pakistan,un-sc-sanctions.112032,PK,2018-05-01 01:05:10.877515,2018-04-12 07:33:06.893388
Iraq,un-sc-sanctions.6908116,IQ,2018-05-01 01:05:11.211426,2018-04-12 07:33:06.718168
Democratic People's Republic of Korea,un-sc-sanctions.6908584,KP,2018-05-01 01:05:12.211751,2018-04-12 07:33:08.187253
France,un-sc-sanctions.6908481,FR,2018-05-01 01:05:12.303663,2018-04-12 07:33:08.546567
Tunisia,un-sc-sanctions.6908481,TN,2018-05-01 01:05:12.320020,2018-04-12 07:33:08.563326
Yemen,un-sc-sanctions.111943,YE,2018-05-01 01:05:12.495562,2018-04-12 07:33:07.953674
Algeria,un-sc-sanctions.2816344,DZ,2018-05-01 01:05:13.187546,2018-04-12 07:33:09.356001
United Republic of Tanzania,un-sc-sanctions.112044,TZ,2018-05-01 01:05:14.447112,2018-04-12 07:33:11.197448
Iraq,un-sc-sanctions.6908128,IQ,2018-05-01 01:05:14.847266,2018-04-12 07:33:13.198301
Afghanistan,un-sc-sanctions.2914108,AF,2018-05-01 01:05:15.214914,2018-04-12 07:33:11.739504
Bosnia and Herzegovina,un-sc-sanctions.6908529,BA,2018-05-01 01:05:15.690270,2018-04-12 07:33:13.056244
Guinea-Bissau,un-sc-sanctions.690793,GW,2018-05-01 01:05:15.890210,2018-04-12 07:33:12.423057
Afghanistan,un-sc-sanctions.110941,AF,2018-05-01 01:05:16.757605,2018-04-12 07:33:16.564835
Democratic People's Republic of Korea,un-sc-sanctions.6908502,KP,2018-05-01 01:05:17.825583,2018-04-12 07:33:16.240241
Afghanistan,un-sc-sanctions.111094,AF,2018-05-01 01:05:17.866843,2018-04-12 07:33:17.132467
Democratic Republic of the Congo,un-sc-sanctions.6908023,CD,2018-05-01 01:05:18.208581,2018-04-12 07:33:17.623968
Afghanistan,un-sc-sanctions.110578,AF,2018-05-01 01:05:18.208531,2018-04-12 07:33:16.807075
Somalia,un-sc-sanctions.6908038,SO,2018-05-01 01:05:18.225134,2018-04-12 07:33:17.049088
Democratic People's Republic of Korea,un-sc-sanctions.6908644,KP,2018-05-01 01:05:18.425368,2018-04-12 07:33:17.223790
Afghanistan,un-sc-sanctions.111305,AF,2018-05-01 01:05:19.233899,2018-04-12 07:33:17.032007
Indonesia (as at Dec. 2003),un-sc-sanctions.113211,,2018-05-01 01:05:19.434623,2018-04-12 07:33:18.890775
Democratic People's Republic of Korea,un-sc-sanctions.6908558,KP,2018-05-01 01:05:02.210746,2018-04-12 07:32:46.661764
